close,date,high,low,open
1222.62,2014-12-12,1228.59998,1214.41504,1227.54004
1193.15002,2014-12-15,1224.40002,1190.69995,1222.59009
1197.0,2014-12-16,1223.64502,1187.5,1193.19995
1189.42505,2014-12-17,1203.09497,1183.30005,1197.05005
1198.7749,2014-12-18,1213.995,1188.19995,1189.68994
1195.65503,2014-12-19,1201.5,1193.80493,1198.55005
1176.42004,2014-12-22,1203.58496,1170.79492,1195.73999
1176.55005,2014-12-23,1185.09998,1172.59998,1176.34998
1175.14001,2014-12-24,1181.34497,1172.80005,1176.55005
1174.09998,2014-12-25,1174.11499,1174.09998,1174.11499
1196.06006,2014-12-26,1199.27502,1173.09998,1174.11499
1183.31006,2014-12-29,1197.60498,1178.84998,1196.05005
1200.40002,2014-12-30,1210.84998,1180.82495,1183.31006
1184.35999,2014-12-31,1203.97998,1179.65002,1200.56006
1184.31006,2015-01-01,1184.62,1182.3999,1184.28503
1188.72998,2015-01-02,1195.15503,1167.55005,1182.505
1204.73499,2015-01-05,1208.05005,1177.68994,1188.38501
1219.05005,2015-01-06,1223.55005,1201.7749,1204.81006
1211.40002,2015-01-07,1219.5,1209.06006,1218.56006
1208.8999,2015-01-08,1216.80005,1204.63,1211.34998
1223.25,2015-01-09,1224.22998,1207.14001,1208.85999
1233.44995,2015-01-12,1236.05005,1217.60999,1223.19995
1230.90002,2015-01-13,1244.5,1227.33997,1233.19995
1228.94995,2015-01-14,1244.59998,1225.03491,1230.84998
1262.75,2015-01-15,1266.88501,1225.80005,1228.70996
1280.40002,2015-01-16,1282.22998,1255.0,1262.69995
1276.84998,2015-01-19,1281.75,1272.17505,1280.30005
1295.25,2015-01-20,1297.23999,1274.10498,1276.36011
1293.25,2015-01-21,1305.67505,1284.69995,1295.35999
1302.23499,2015-01-22,1307.90503,1279.09998,1293.04004
1294.38,2015-01-23,1303.0,1284.30005,1302.30005
1281.44995,2015-01-26,1299.34998,1275.80005,1294.32495
1292.32495,2015-01-27,1297.69995,1272.19995,1281.5249
1284.57007,2015-01-28,1293.92505,1279.59998,1291.90002
1257.10498,2015-01-29,1286.59998,1251.59998,1284.51001
1283.80005,2015-01-30,1284.90002,1256.80005,1257.58008
1274.34009,2015-02-02,1284.1001,1266.30005,1283.40002
1260.19995,2015-02-03,1286.08008,1255.40002,1274.34998
1269.20496,2015-02-04,1272.56006,1256.5,1260.34998
1264.75,2015-02-05,1274.26001,1256.19995,1269.20996
1233.95996,2015-02-06,1268.88,1228.19995,1264.75
1239.15002,2015-02-09,1243.77502,1232.90002,1233.80005
1233.59998,2015-02-10,1246.01501,1231.0,1239.15002
1218.75,2015-02-11,1238.92993,1216.59998,1233.73999
1221.94995,2015-02-12,1233.07495,1216.80005,1219.07495
1229.72998,2015-02-13,1235.15002,1221.69995,1221.91992
1230.97498,2015-02-16,1236.89001,1227.60999,1229.75
1209.65002,2015-02-17,1234.15002,1203.84998,1230.9751
1212.41504,2015-02-18,1213.65002,1197.69995,1209.81006
1206.98999,2015-02-19,1223.15002,1205.48511,1212.37
1201.88,2015-02-20,1215.55493,1198.30493,1206.76001
1201.72998,2015-02-23,1210.5,1190.86499,1201.86499
1200.52002,2015-02-24,1204.66992,1190.5,1201.76001
1204.94995,2015-02-25,1212.0,1200.25,1200.44995
1209.53003,2015-02-26,1220.19995,1203.59998,1204.95996
1213.22498,2015-02-27,1219.45496,1204.54492,1209.4751
1206.94995,2015-03-02,1223.39001,1204.63501,1213.27502
1203.65002,2015-03-03,1214.94507,1195.44995,1206.94995
1200.25,2015-03-04,1209.1499,1198.09998,1203.65002
1198.34998,2015-03-05,1209.56006,1196.59009,1200.25
1165.58997,2015-03-06,1200.82495,1163.83008,1198.34497
1167.19995,2015-03-09,1175.44995,1165.47998,1165.56006
1161.82495,2015-03-10,1170.65002,1155.09998,1167.29004
1155.18994,2015-03-11,1165.36499,1147.57495,1161.7251
1153.65002,2015-03-12,1166.75,1148.59998,1155.2749
1158.52502,2015-03-13,1161.95508,1151.495,1153.7251
1154.84998,2015-03-16,1164.34998,1150.46997,1158.69995
1149.65002,2015-03-17,1160.0,1142.69995,1154.84998
1167.84998,2015-03-18,1176.0,1145.90002,1149.42505
1171.40002,2015-03-19,1178.02502,1159.68506,1167.69995
1183.09998,2015-03-20,1188.5,1168.84998,1171.34998
1189.68994,2015-03-23,1192.0,1179.34998,1182.60999
1193.26001,2015-03-24,1195.5,1185.5,1189.42505
1195.34998,2015-03-25,1200.30005,1186.72498,1193.19507
1204.82495,2015-03-26,1220.30005,1194.44995,1195.45996
1198.58997,2015-03-27,1206.31494,1192.5,1204.87012
1185.90503,2015-03-30,1199.68506,1182.44995,1198.255
1183.7251,2015-03-31,1191.0,1178.55005,1186.04492
1204.05005,2015-04-01,1208.69995,1180.84998,1183.34998
1202.62,2015-04-02,1207.495,1195.04004,1204.12
1202.995,2015-04-03,1202.995,1200.29004,1202.58997
1215.03491,2015-04-06,1224.40002,1202.995,1202.995
1209.21997,2015-04-07,1215.94995,1207.59998,1214.94995
1202.43994,2015-04-08,1212.505,1197.55005,1209.15002
1194.7749,2015-04-09,1203.51001,1192.69995,1202.43994
1207.5,2015-04-10,1210.875,1193.09998,1194.80005
1198.84009,2015-04-13,1209.65002,1196.19995,1207.90991
1192.84998,2015-04-14,1201.63,1183.6499,1198.84998
1202.625,2015-04-15,1204.84998,1188.90002,1192.81494
1198.55493,2015-04-16,1209.28503,1194.5,1202.65002
1204.30005,2015-04-17,1207.92505,1197.19995,1198.60999
1195.90503,2015-04-20,1209.28503,1191.19995,1204.40002
1202.80493,2015-04-21,1204.44995,1192.90002,1195.94995
1187.255,2015-04-22,1205.05005,1185.40002,1202.40002
1193.59998,2015-04-23,1198.16992,1184.0,1187.26001
1179.44995,2015-04-24,1196.14001,1174.59998,1194.09497
1202.09998,2015-04-27,1207.44995,1179.0,1179.0
1212.57007,2015-04-28,1215.30005,1199.28003,1202.11499
1204.85498,2015-04-29,1214.16003,1201.45996,1212.19995
1184.34497,2015-04-30,1207.34998,1176.80005,1204.68994
1178.46997,2015-05-01,1185.34998,1170.0,1184.34998
1188.44995,2015-05-04,1193.05005,1177.61499,1178.19995
1193.34998,2015-05-05,1200.005,1185.80005,1188.44995
1192.21497,2015-05-06,1197.78003,1188.30005,1193.40503
